id,label,item_id,kind,course_id,section_index,section_slug,section_title,section_chunk_index,week,order,tags,source_path,metrics
0,Choosing a Topic and Asking a Question,assignments-choosing-a-topic-and-asking-a-question,exam,21h.102-spring-2018,1,assignments,Assignments,0,1,0,,pages/assignments/choosing-a-topic-and-asking-a-question,
1,Essay #1,assignments-essay-1,recitation,21h.102-spring-2018,1,assignments,Assignments,0,1,1,,pages/assignments/essay-1,
2,Essay #2,assignments-essay-2,recitation,21h.102-spring-2018,1,assignments,Assignments,0,2,2,,pages/assignments/essay-2,
3,Final Paper Proposal and Guidelines,assignments-final-paper-proposal-and-guidelines,recitation,21h.102-spring-2018,1,assignments,Assignments,0,1,3,,pages/assignments/final-paper-proposal-and-guidelines,
4,Guidelines for Reading Responses,assignments-guidelines-for-reading-responses,recitation,21h.102-spring-2018,1,assignments,Assignments,0,1,4,,pages/assignments/guidelines-for-reading-responses,
5,Lecture 5 - Conflict and Conquest in the Frontier West,lecture-notes-conflict-and-conquest-in-the-frontier-west,lecture,21h.102-spring-2018,3,lecture-notes,Lecture Notes,0,3,5,,pages/lecture-notes/conflict-and-conquest-in-the-frontier-west,
6,Lecture 2 - Reconstruction, Race, and Reunion,lecture-notes-lecture-2-reconstruction-race-and-reunion,lecture,21h.102-spring-2018,3,lecture-notes,Lecture Notes,0,2,6,,pages/lecture-notes/lecture-2-reconstruction-race-and-reunion,
7,Lecture 6 - Capital, Labor, and the Standardization of Work,lecture-notes-lecture-6-capital-labor-and-the-standardization-of-work,lecture,21h.102-spring-2018,3,lecture-notes,Lecture Notes,0,6,7,,pages/lecture-notes/lecture-6-capital-labor-and-the-standardization-of-work,
8,Lecture 8 - Becoming A World Power,lecture-notes-lecture-8-becoming-a-world-power,lecture,21h.102-spring-2018,3,lecture-notes,Lecture Notes,0,8,8,,pages/lecture-notes/lecture-8-becoming-a-world-power,
9,Lecture 9 - Progressive Reform,lecture-notes-lecture-9-progressive-reform,lecture,21h.102-spring-2018,3,lecture-notes,Lecture Notes,0,9,9,,pages/lecture-notes/lecture-9-progressive-reform,
10,21H.102_S17 Assignments Final Paper: The Power of Female Voters,mit21h_102s18_assignments_finalpaperexample,exam,21h.102-spring-2018,6,resources,Resources,0,6,10,,resources/mit21h_102s18_assignments_finalpaperexample,
