step,src,dst,val
300,0,1,1
300,1,2,1
1000,4,5,1
1000,5,30,1
1000,30,31,1
1000,31,32,1
1001,32,33,1
1001,33,34,1
1001,34,35,1
1001,35,36,1
1001,36,37,1
1002,37,38,1
1002,38,39,1
1002,39,40,1
1002,40,41,1
1002,41,42,1
1003,42,43,1
1003,43,44,1
1003,44,45,1
1003,45,46,1
1003,46,47,1
1004,47,48,1
1004,48,49,1
1004,49,50,1
1004,50,51,1
1004,51,52,1
1005,52,53,1
1005,53,55,1
1005,55,56,1
1005,56,57,1
1005,57,58,1
1006,58,59,1
1006,59,60,1
1006,60,61,1
1006,61,62,1
1006,62,63,1
1007,63,64,1
1007,64,65,1
1007,65,68,1
1007,68,73,1
1007,73,112,1
1008,112,113,1
1008,113,114,1
1008,114,115,1
1008,115,116,1
1008,116,117,1
1009,117,118,1
1009,118,119,1
1009,119,120,1
1009,120,121,1
1009,121,122,1
1010,122,123,1
1010,123,124,1
1010,124,125,1
1010,125,126,1
1010,126,127,1
1011,127,128,1
1011,128,129,1
1011,129,130,1
1011,130,131,1
1011,131,132,1
1012,132,133,1
1012,133,134,1
1012,134,135,1
1012,135,136,1
1012,136,137,1
1013,137,3,1
1013,3,6,1
1013,6,7,1
1013,7,8,1
1013,8,9,1
1014,9,10,1
1014,10,11,1
1014,11,12,1
1014,12,13,1
1014,13,14,1
1015,14,15,1
1015,15,16,1
1015,16,17,1
1015,17,18,1
1015,18,19,1
1016,19,20,1
1016,20,21,1
1016,21,22,1
1016,22,23,1
1016,23,24,1
1017,24,25,1
1017,25,26,1
1017,26,27,1
1017,27,28,1
1017,28,29,1
1018,29,66,1
1018,66,67,1
1018,67,69,1
1018,69,70,1
1018,70,71,1
1019,71,72,1
1019,72,78,1
1019,78,79,1
1019,79,80,1
1019,80,81,1
1020,81,82,1
1020,82,83,1
1020,83,84,1
1020,84,85,1
1020,85,86,1
1021,86,87,1
1021,87,88,1
1021,88,89,1
1021,89,90,1
1021,90,91,1
1022,91,92,1
1022,92,93,1
1022,93,94,1
1022,94,95,1
1022,95,96,1
1023,96,97,1
1023,97,98,1
1023,98,99,1
1023,99,100,1
1023,100,138,1
1024,138,139,1
1024,139,140,1
1024,140,141,1
1024,141,142,1
1024,142,143,1
1025,143,144,1
1025,144,145,1
1025,145,146,1
1025,146,147,1
1025,147,148,1
1026,148,149,1
1026,149,150,1
1026,150,151,1
1026,151,152,1
1026,152,153,1
1027,153,154,1
1027,154,155,1
1027,155,54,1
1027,54,74,1
1027,74,75,1
1028,75,76,1
1028,76,77,1
1028,77,101,1
1028,101,102,1
1028,102,103,1
1029,103,104,1
1029,104,105,1
1029,105,106,1
1029,106,107,1
1029,107,108,1
1030,108,109,1
1030,109,110,1
1030,110,111,1
1000,2,4,1
1100,111,156,1
1100,156,156,1
