id,label,item_id,kind,course_id,section_index,section_slug,section_title,section_chunk_index,week,order,tags,source_path,metrics
0,Discussion: Development,adult-development-discussion-development,recitation,9.00sc-fall-2011,1,adult-development,Adult Development,0,1,0,,pages/adult-development/discussion-development,
1,Discussion: Attention,attention-discussion-attention,recitation,9.00sc-fall-2011,2,attention,Attention,0,2,1,,pages/attention/discussion-attention,
2,Removed Clips for Video Lecture 7: Attention,attention-removed-clips,lecture,9.00sc-fall-2011,2,attention,Attention,0,2,2,,pages/attention/removed-clips,
3,Removed Clips for Video Lecture 3: Brain I,brain-i-removed-clips,lecture,9.00sc-fall-2011,3,brain-i,Brain I: Structure and Functions,0,3,3,,pages/brain-i/removed-clips,
4,Discussion: Brain,brain-ii-discussion-brain,recitation,9.00sc-fall-2011,4,brain-ii,Brain II: Methods of Research,0,4,4,,pages/brain-ii/discussion-brain,
5,Removed Clips for Video Lecture 17: Child Development,child-development-removed-clips,lecture,9.00sc-fall-2011,5,child-development,Child Development,0,5,5,,pages/child-development/removed-clips,
6,Writing Assignment 2,child-development-writing-assignment-2,reading,9.00sc-fall-2011,5,child-development,Child Development,0,2,6,,pages/child-development/writing-assignment-2,
7,Removed Clips for Video Lecture 8: Consciousness,consciousness-removed-clips,recitation,9.00sc-fall-2011,7,consciousness,Consciousness,0,7,7,,pages/consciousness/removed-clips,
8,Discussion: Emotion,emotion-motivation-discussion-emotion,recitation,9.00sc-fall-2011,8,emotion-motivation,Emotion & Motivation,0,8,8,,pages/emotion-motivation/discussion-emotion,
9,Removed Clips for Video Lecture 15: Emotion & Motivation,emotion-motivation-removed-clips,lecture,9.00sc-fall-2011,8,emotion-motivation,Emotion & Motivation,0,8,9,,pages/emotion-motivation/removed-clips,
10,Bringing Demonstrations into the Classroom,instructor-insights-bringing-demonstrations-into-the-classroom,insight,9.00sc-fall-2011,12,instructor-insights,Instructor Insights,0,12,10,,pages/instructor-insights/bringing-demonstrations-into-the-classroom,
11,Crafting Lectures That Inspire and Inform,instructor-insights-crafting-lectures-that-inspire-and-inform,insight,9.00sc-fall-2011,12,instructor-insights,Instructor Insights,0,12,11,,pages/instructor-insights/crafting-lectures-that-inspire-and-inform,
12,Maintaining Currency in a Rapidly Evolving Field,instructor-insights-maintaining-currency-in-a-rapidly-evolving-field,insight,9.00sc-fall-2011,12,instructor-insights,Instructor Insights,0,12,12,,pages/instructor-insights/maintaining-currency-in-a-rapidly-evolving-field,
13,Structuring a Broad Survey Course,instructor-insights-structuring-a-broad-survey-course,insight,9.00sc-fall-2011,12,instructor-insights,Instructor Insights,0,12,13,,pages/instructor-insights/structuring-a-broad-survey-course,
14,Teaching Students to Evaluate Research,instructor-insights-teaching-students-to-evaluate-research,insight,9.00sc-fall-2011,12,instructor-insights,Instructor Insights,0,12,14,,pages/instructor-insights/teaching-students-to-evaluate-research,
15,Discussion: Thinking & Intelligence,intelligence-discussion-thinking-intelligence,recitation,9.00sc-fall-2011,13,intelligence,Intelligence,0,13,15,,pages/intelligence/discussion-thinking-intelligence,
16,Removed Clips for Video Lecture 1: Introduction,introduction-removed-clips,lecture,9.00sc-fall-2011,14,introduction,Introduction,0,14,16,,pages/introduction/removed-clips,
17,Discussion: Language,language-1-discussion-language,recitation,9.00sc-fall-2011,15,language-1,Language,0,1,17,,pages/language-1/discussion-language,
18,Removed Clips for Video Lecture 12: Language,language-1-removed-clips,lecture,9.00sc-fall-2011,15,language-1,Language,0,1,18,,pages/language-1/removed-clips,
19,Discussion: Learning,learning-discussion-learning,recitation,9.00sc-fall-2011,16,learning,Learning,0,16,19,,pages/learning/discussion-learning,
20,Removed Clips for Video Lecture 9: Learning,learning-removed-clips,lecture,9.00sc-fall-2011,16,learning,Learning,0,16,20,,pages/learning/removed-clips,
21,Discussion: Memory,memory-ii-discussion-memory,recitation,9.00sc-fall-2011,18,memory-ii,Memory II: Amnesia and Memory Systems,0,18,21,,pages/memory-ii/discussion-memory,
22,Removed Clips for Video Lecture 11: Memory II,memory-ii-removed-clips,recitation,9.00sc-fall-2011,18,memory-ii,Memory II: Amnesia and Memory Systems,0,18,22,,pages/memory-ii/removed-clips,
23,Discussion: Personality,personality-discussion-personality,recitation,9.00sc-fall-2011,19,personality,Personality,0,19,23,,pages/personality/discussion-personality,
24,Removed Clips for Video Lecture 20: Psychopathology I,psychopathology-i-removed-clips,lecture,9.00sc-fall-2011,20,psychopathology-i,Psychopathology I,0,20,24,,pages/psychopathology-i/removed-clips,
25,Discussion: Psychopathology,psychopathology-ii-discussion-psychopathology,recitation,9.00sc-fall-2011,21,psychopathology-ii,Psychopathology II,0,21,25,,pages/psychopathology-ii/discussion-psychopathology,
26,"Extra Credit" Writing Assignment,psychopathology-ii-extra-credit-writing-assignment,reading,9.00sc-fall-2011,21,psychopathology-ii,Psychopathology II,0,21,26,,pages/psychopathology-ii/extra-credit-writing-assignment,
27,Removed Clips for Video Lecture 21: Psychopathology II,psychopathology-ii-removed-clips,lecture,9.00sc-fall-2011,21,psychopathology-ii,Psychopathology II,0,21,27,,pages/psychopathology-ii/removed-clips,
28,Removed Clips for Video Lecture 22: Social Psychology I,social-psychology-i-removed-clips,lecture,9.00sc-fall-2011,23,social-psychology-i,Social Psychology I,0,23,28,,pages/social-psychology-i/removed-clips,
29,Discussion: Social Psychology,social-psychology-ii-discussion-social-psychology,recitation,9.00sc-fall-2011,24,social-psychology-ii,Social Psychology II,0,24,29,,pages/social-psychology-ii/discussion-social-psychology,
