step,src,dst,val
2,0,1,4
3,1,2,4
4,2,3,4
5,3,4,4
6,4,5,4
7,5,6,4
8,6,7,4
9,7,8,4
10,8,9,4
11,9,10,4
12,10,11,4
13,11,12,4
14,12,13,4
15,13,14,4
16,14,15,4
17,15,16,4
18,16,17,4
19,17,18,4
20,18,19,4
21,19,20,4
22,20,21,4
23,21,22,4
24,22,23,4
25,23,24,4
26,24,25,4
27,25,26,4
28,26,27,4
29,27,28,4
30,28,29,4
31,29,30,4
32,30,31,4
33,31,32,4
34,32,33,4
35,33,34,4
36,34,35,4
37,35,36,4
38,36,37,4
39,37,38,4
40,38,39,4
41,39,40,4
42,40,41,4
43,41,42,4
1,0,43,1
1,43,44,1
1,43,45,1
1,43,46,1
1,43,47,1
1,43,48,1
1,0,49,1
1,43,49,1
1,49,50,1
1,49,51,1
1,49,52,1
1,49,53,1
1,49,54,1
1,0,55,1
1,49,55,1
1,55,56,1
1,55,57,1
1,55,58,1
1,55,59,1
1,55,60,1
1,0,61,1
1,55,61,1
1,61,46,1
1,61,62,1
1,61,63,1
1,61,64,1
1,61,65,1
1,0,66,1
1,61,66,1
1,66,67,1
1,66,68,1
1,66,69,1
1,66,70,1
1,66,71,1
1,0,72,1
1,66,72,1
1,72,73,1
1,72,74,1
1,72,75,1
1,72,76,1
1,72,77,1
1,0,78,1
1,72,78,1
1,78,79,1
1,78,80,1
1,78,81,1
1,78,82,1
1,78,74,1
1,0,83,1
1,78,83,1
1,83,84,1
1,83,85,1
1,83,86,1
1,83,87,1
1,83,88,1
1,0,89,1
1,83,89,1
1,89,90,1
1,89,91,1
1,89,92,1
1,89,93,1
1,89,94,1
1,0,95,1
1,89,95,1
1,95,96,1
1,95,97,1
1,95,98,1
1,95,99,1
1,95,100,1
1,0,101,1
1,95,101,1
1,101,85,1
1,101,102,1
1,101,103,1
1,101,104,1
1,101,105,1
1,0,106,1
1,101,106,1
1,106,107,1
1,106,108,1
1,106,109,1
1,106,104,1
1,106,110,1
1,0,111,1
1,106,111,1
1,111,112,1
1,111,94,1
1,111,113,1
1,111,114,1
1,111,115,1
1,0,116,1
1,111,116,1
1,116,117,1
1,116,118,1
1,116,119,1
1,116,120,1
1,116,56,1
1,0,121,1
1,116,121,1
1,121,122,1
1,121,123,1
1,121,124,1
1,121,125,1
1,121,118,1
1,0,126,1
1,121,126,1
1,126,85,1
1,126,93,1
1,126,127,1
1,126,48,1
1,126,128,1
1,0,129,1
1,126,129,1
1,129,122,1
1,129,130,1
1,129,131,1
1,129,132,1
1,129,133,1
1,0,134,1
1,129,134,1
1,134,135,1
1,134,122,1
1,134,136,1
1,134,137,1
1,134,138,1
1,0,139,1
1,134,139,1
1,139,140,1
1,139,141,1
1,139,136,1
1,139,85,1
1,139,142,1
1,0,143,1
1,139,143,1
1,143,80,1
1,143,93,1
1,143,144,1
1,143,67,1
1,143,145,1
1,0,146,1
1,143,146,1
1,146,147,1
1,146,148,1
1,146,149,1
1,146,150,1
1,146,151,1
1,0,152,1
1,146,152,1
1,152,153,1
1,152,87,1
1,152,127,1
1,152,154,1
1,152,155,1
2,1,156,1
2,156,157,1
2,156,44,1
2,156,67,1
2,156,70,1
2,156,158,1
2,1,159,1
2,156,159,1
2,159,160,1
2,159,161,1
2,159,57,1
2,159,162,1
2,159,163,1
2,1,164,1
2,159,164,1
2,164,165,1
2,164,160,1
2,164,166,1
2,164,167,1
2,164,168,1
2,1,169,1
2,164,169,1
2,169,170,1
2,169,171,1
2,169,172,1
2,169,173,1
2,169,174,1
2,1,175,1
2,169,175,1
2,175,176,1
2,175,177,1
2,175,178,1
2,175,179,1
2,175,180,1
2,1,181,1
2,175,181,1
2,181,182,1
2,181,183,1
2,181,184,1
2,181,185,1
2,181,186,1
2,1,187,1
2,181,187,1
2,187,188,1
2,187,189,1
2,187,190,1
2,187,191,1
2,187,192,1
2,1,193,1
2,187,193,1
2,193,182,1
2,193,194,1
2,193,195,1
2,193,183,1
2,193,196,1
2,1,197,1
2,193,197,1
2,197,198,1
2,197,199,1
2,197,200,1
2,197,201,1
2,197,202,1
2,1,203,1
2,197,203,1
2,203,204,1
2,203,205,1
2,203,206,1
2,203,207,1
2,203,182,1
2,1,208,1
2,203,208,1
2,208,209,1
2,208,210,1
2,208,211,1
2,208,212,1
2,208,213,1
2,1,214,1
2,208,214,1
2,214,182,1
2,214,183,1
2,214,215,1
2,214,216,1
2,214,117,1
2,1,217,1
2,214,217,1
2,217,218,1
2,217,219,1
2,217,220,1
2,217,221,1
2,217,222,1
2,1,223,1
2,217,223,1
2,223,224,1
2,223,225,1
2,223,226,1
2,223,227,1
2,223,228,1
2,1,229,1
2,223,229,1
2,229,230,1
2,229,231,1
2,229,232,1
2,229,93,1
2,229,233,1
2,1,234,1
2,229,234,1
2,234,182,1
2,234,235,1
2,234,236,1
2,234,183,1
2,234,237,1
2,1,238,1
2,234,238,1
2,238,239,1
2,238,240,1
2,238,241,1
2,238,242,1
2,238,243,1
2,1,244,1
2,238,244,1
2,244,245,1
2,244,246,1
2,244,147,1
2,244,87,1
2,244,247,1
2,1,248,1
2,244,248,1
2,248,87,1
2,248,147,1
2,248,249,1
2,248,127,1
2,248,250,1
3,2,251,1
3,251,252,1
3,251,253,1
3,251,44,1
3,251,254,1
3,251,255,1
3,2,256,1
3,251,256,1
3,256,198,1
3,256,257,1
3,256,258,1
3,256,259,1
3,256,260,1
3,2,261,1
3,256,261,1
3,261,44,1
3,261,262,1
3,261,263,1
3,261,264,1
3,261,265,1
3,2,266,1
3,261,266,1
3,266,124,1
3,266,148,1
3,266,267,1
3,266,268,1
3,266,269,1
3,2,270,1
3,266,270,1
3,270,271,1
3,270,272,1
3,270,254,1
3,270,273,1
3,270,274,1
3,2,275,1
3,270,275,1
3,275,276,1
3,275,277,1
3,275,278,1
3,275,279,1
3,275,280,1
3,2,281,1
3,275,281,1
3,281,138,1
3,281,282,1
3,281,283,1
3,281,284,1
3,281,279,1
3,2,285,1
3,281,285,1
3,285,286,1
3,285,287,1
3,285,288,1
3,285,289,1
3,285,233,1
3,2,290,1
3,285,290,1
3,290,291,1
3,290,292,1
3,290,293,1
3,290,71,1
3,290,294,1
3,2,295,1
3,290,295,1
3,295,296,1
3,295,297,1
3,295,291,1
3,295,298,1
3,295,299,1
3,2,300,1
3,295,300,1
3,300,255,1
3,300,301,1
3,300,302,1
3,300,45,1
3,300,303,1
3,2,304,1
3,300,304,1
3,304,230,1
3,304,305,1
3,304,198,1
3,304,306,1
3,304,307,1
3,2,308,1
3,304,308,1
3,308,230,1
3,308,309,1
3,308,310,1
3,308,253,1
3,308,311,1
3,2,312,1
3,308,312,1
3,312,313,1
3,312,314,1
3,312,157,1
3,312,94,1
3,312,315,1
3,2,316,1
3,312,316,1
3,316,317,1
3,316,318,1
3,316,319,1
3,316,320,1
3,316,321,1
3,2,322,1
3,316,322,1
3,322,323,1
3,322,324,1
3,322,325,1
3,322,326,1
3,322,327,1
3,2,328,1
3,322,328,1
3,328,329,1
3,328,330,1
3,328,331,1
3,328,332,1
3,328,67,1
3,2,333,1
3,328,333,1
3,333,230,1
3,333,334,1
3,333,335,1
3,333,336,1
3,333,337,1
3,2,338,1
3,333,338,1
3,338,46,1
3,338,138,1
3,338,339,1
3,338,340,1
3,338,94,1
3,2,341,1
3,338,341,1
3,341,155,1
3,341,342,1
