id,label,item_id,kind,course_id,section_index,section_slug,section_title,section_chunk_index,week,order,tags,source_path,metrics
0,The essence of calculus,WUvTyaaNkzM,lecture,essence_calculus,,,,,1,0,math,https://youtu.be/WUvTyaaNkzM,{"views": 10000000, "likes": 0, "duration": 1025}
1,The paradox of the derivative | Chapter 2, Essence of calculus,9vKqVkMQHKk,lecture,essence_calculus,,,,,2,1,math,https://youtu.be/9vKqVkMQHKk,{"views": 4100000, "likes": 0, "duration": 1010}
2,Derivative formulas through geometry | Chapter 3, Essence of calculus,S0_qX4VJhMQ,lecture,essence_calculus,,,,,3,2,math,https://youtu.be/S0_qX4VJhMQ,{"views": 3300000, "likes": 0, "duration": 1054}
3,Visualizing the chain rule and product rule | Chapter 4, Essence of calculus,YG15m2VwSjA,lecture,essence_calculus,,,,,4,3,math,https://youtu.be/YG15m2VwSjA,{"views": 2100000, "likes": 0, "duration": 956}
4,What's so special about Euler's number e? | Chapter 5, Essence of calculus,m2MIpDrF7Es,lecture,essence_calculus,,,,,5,4,math,https://youtu.be/m2MIpDrF7Es,{"views": 4700000, "likes": 0, "duration": 830}
5,Implicit differentiation, what's going on here? | Chapter 6, Essence of calculus,qb40J4N1fa4,lecture,essence_calculus,,,,,6,5,math,https://youtu.be/qb40J4N1fa4,{"views": 2100000, "likes": 0, "duration": 934}
6,Limits, L'Hôpital's rule, and epsilon delta definitions | Chapter 7, Essence of calculus,kfF40MiS7zA,lecture,essence_calculus,,,,,7,6,math,https://youtu.be/kfF40MiS7zA,{"views": 2300000, "likes": 0, "duration": 1107}
7,Integration and the fundamental theorem of calculus | Chapter 8, Essence of calculus,rfG8ce4nNh0,lecture,essence_calculus,,,,,8,7,math,https://youtu.be/rfG8ce4nNh0,{"views": 2700000, "likes": 0, "duration": 1246}
8,What does area have to do with slope? | Chapter 9, Essence of calculus,FnJqaIESC2s,lecture,essence_calculus,,,,,9,8,math,https://youtu.be/FnJqaIESC2s,{"views": 1500000, "likes": 0, "duration": 759}
9,Higher order derivatives | Chapter 10, Essence of calculus,BLkz5LGWihw,lecture,essence_calculus,,,,,10,9,math,https://youtu.be/BLkz5LGWihw,{"views": 847000, "likes": 0, "duration": 339}
10,Taylor series | Chapter 11, Essence of calculus,3d6DsjIBzJ4,lecture,essence_calculus,,,,,11,10,math,https://youtu.be/3d6DsjIBzJ4,{"views": 4700000, "likes": 0, "duration": 1340}
