step,src,dst,val
500,4,5,1
500,5,6,1
500,6,7,1
500,7,8,1
501,8,9,1
501,9,10,1
501,10,11,1
501,11,12,1
501,12,13,1
502,13,14,1
502,14,15,1
502,15,16,1
502,16,17,1
502,17,18,1
503,18,19,1
503,19,20,1
503,20,21,1
503,21,22,1
503,22,32,1
504,32,33,1
504,33,34,1
504,34,35,1
504,35,36,1
504,36,37,1
505,37,38,1
505,38,39,1
505,39,40,1
505,40,41,1
505,41,42,1
506,42,43,1
506,43,44,1
506,44,45,1
506,45,46,1
506,46,47,1
507,47,48,1
507,48,0,1
507,0,1,1
507,1,2,1
507,2,3,1
508,3,95,1
508,95,23,1
508,23,24,1
508,24,25,1
508,25,26,1
509,26,27,1
509,27,28,1
509,28,29,1
509,29,30,1
509,30,31,1
510,31,49,1
510,49,50,1
510,50,51,1
510,51,52,1
510,52,53,1
511,53,54,1
511,54,55,1
511,55,56,1
511,56,57,1
511,57,58,1
512,58,59,1
512,59,60,1
512,60,61,1
512,61,62,1
512,62,63,1
513,63,64,1
513,64,65,1
513,65,66,1
513,66,67,1
513,67,68,1
514,68,69,1
514,69,70,1
514,70,71,1
514,71,72,1
514,72,73,1
515,73,74,1
515,74,75,1
515,75,76,1
515,76,77,1
515,77,78,1
516,78,79,1
516,79,80,1
516,80,81,1
516,81,82,1
516,82,83,1
517,83,84,1
517,84,85,1
517,85,86,1
517,86,87,1
517,87,88,1
518,88,89,1
518,89,90,1
518,90,91,1
518,91,92,1
518,92,93,1
519,93,94,1
600,94,96,1
600,96,96,1
510,4,49,0.9
500,49,4,0.5
510,4,50,0.9
500,50,4,0.5
510,4,51,0.9
500,51,4,0.5
510,4,52,0.9
500,52,4,0.5
510,4,53,0.9
500,53,4,0.5
511,4,54,0.9
500,54,4,0.5
511,4,55,0.9
500,55,4,0.5
511,4,56,0.9
500,56,4,0.5
511,4,57,0.9
500,57,4,0.5
511,4,58,0.9
500,58,4,0.5
512,4,59,0.9
500,59,4,0.5
512,4,60,0.9
500,60,4,0.5
512,4,61,0.9
500,61,4,0.5
512,4,62,0.9
500,62,4,0.5
512,4,63,0.9
500,63,4,0.5
513,4,64,0.9
500,64,4,0.5
513,4,65,0.9
500,65,4,0.5
513,4,66,0.9
500,66,4,0.5
513,4,67,0.9
500,67,4,0.5
513,4,68,0.9
500,68,4,0.5
514,4,69,0.9
500,69,4,0.5
514,4,70,0.9
500,70,4,0.5
